,tweet,class
65,fashion world urban means stolen black people ghetto us urban haha,2
66,funny u faggot,0
67,girls fucking retarded back started cramping man double ds,1
68,shall compare thee summers day summers day bitch,1
69,always looks nice gonna buy yellow one,2
70,oh ill make brownies alright,2
71,colored blind,2
72,oh shut mouth talkin morning fag,0
73,hate bitches come school musty like tf walk house stank mama aint shit,1
74,love racism blame whitey everything mention bet white man put desert tortoise bundyranch,0
75,like players really talking trash bama,2
76,jackies retard blondeproblems least make grilled cheese,0
77,fag,0
78,mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,2
79,next time u gone call darky niccacall dat coon jungle bunnyboondocks ps,0
80,look like monkey,2
81,yeah sucks like fags oh nevermind fags nfl,0
82,yall bitches wit edges talking,1
83,ive sounded like fag last days emotions inspiring,1
84,hes lying faggot used inspect element change number dollars account,0
85,hoosier fans cody zeller nominating years nba draft iubb,2
86,oh last charlie wilma jeanne,2
87,yea im ipad dont work friday lets ball faggot work,1
88,rt niccas yall need lives money pussy hobbies sum guidance bunch petty miserable dick n booty ass boys,1
89,bags bags thats bag money trash bag black filled money,2
90,rt lmao bitch come scooting tent like fuck shit,1
91,rt love cripples look fucking cripples goddamit im people person,0
92,rt miley cyrus pussy probably taste like wet dog negative ass bitch looks like justin bieber ove,0
93,spear chuckers flooding upton park,2
94,whatever hoe bitch fags beat yall sad asses,0
95,bitch ass nigga hating black women uncle tom bitch punk,0
96,pornandroidiphoneipadsexxxx babe ebony babe pussy,1
97,every slant losangeles deported scum right chinatown bulldozed,0
98,smoking skating twerkingim innat hoeyas,1
99,couldnt trust homies could trust hoesyou cant lol,1
100,seattle mayoral election year choice bunch women nonwhites faggotsfag lovers,0
101,black bitches drive song come,1
102,id like rape bitch posted,0
103,yo fuck skateboarding yall wood pushing faggots man ball life,1
104,im tired bitches saying look mean nigga big af wear tight shirts grim everybody,1
105,volunteer guinea pig help test,2
106,ling ling krunkchip,2
107,wassup wit fucc niccas,0
108,aint gf lil nigguh stfu glory god lmfaooooooo,1
109,uhuh empty heart empty bottle yellow cab would like catch cuz yo latest ex made u mad,1
110,rt dawg rt ever fuck bitch start cry confused shit,1
111,man swear todays like nation hit tony hes driving day chink almost smashed,0
112,dat cat gonna scratch dat colored boy gonna end da chow mein,2
113,oh pain meds made brain fuzzy though banjo kazooie sec,2
114,pornandroidiphoneipadsexxxx desi paki,2
115,deedee patrick ed sheen timmys dad beavis amp butthead peter griffin list mentally retarded cartoon characters,0
116,firecashman root royals october yankees,2
117,wanna nigga im trinna savings account omg imma funny ass bitch man thats real shit,1
118,everybody look birdkilling wind mill lover,2
119,dont worry nigga see worry nigga dont see dats da nigga fuckin yo bitch,0
120,excited red velvet brownie,2
121,love hoes money wats wrong niggas,1
122,whoever mr ramlogan uwi business law tho racist mudda cunt,0
123,could never bby lil dick thts got abortion last bitch oh god,1
124,like bitch niggas,0
125,plus trash talk know especially ole miss,2
126,aint nuttin white trash party,0
127,yea alright redneck white trash stupid niggers hollering car going road trying hit fuck yall,0
128,many fuckin fags even get shouldnt allowed wallet whilst influence haha,0
129,prefer jameis winston speak tv damn coon,0
130,thank based pee slit,2
131,yea dont live guess still got roofs arent fixed charlie jeanne,2
132,girlfriend dont hoe text yanno u r,1
133,one bitches want burrito u catch potosino huh haha,1
134,niggah pharrell whatever niggah name dont deserve shit white ass gay song,0
135,lets kill cracker babies wtf hear wow,0
136,dayum saterlyt shoz un bayg houl,2
137,got every niggah lookin like dam,0
138,thanks hun haha,2
139,merry christmas hun,2
140,people live thenetherlands unwashed trash,0
141,twitter fag youre also retarded,0
142,goh anoniemeaso meeting heeft weer pauzenog steeds niet bij hoofdstukhoe haal ik mn id,2
143,thick raw fuck damn man pussy getting workout,1
144,marshall law whatever coon,2
145,faggot,0
146,funniest yt comment ever received niggers gonna nig shrugs lmao racist muthafucka caught guard,0
147,sorry missed mean live disgusting muzzies uk r disgusting great sun,2
148,best asian massage park slope top rated spa,2
149,didnt make games last season looked astros open yankees st april,2
150,amp aint ho get trap hooouseee,1
151,u hoe broski u gotta look dat shit,1
152,redsox focus orioles knocked last year hatred yankees umteen years lol,2
153,frogger best game ever cuz suck flappy bird,2
154,dem niggas ca white hoes love beautiful black sistas,0
155,happens black pack beats whitey make national news,0
156,bitch fuck yo nigga whats pussy,0
157,rt pussy ass nigga,0
158,yeah sorry monkey team keeps kicking ppl waiting muh pizza,2
159,seem like da colored folk gettin da way lately sayin,0
160,also recommend pack shiner bock hours brisket duty pit feeding oak coals,2
161,ah nigga dat cares opinions get involve hoe shit either gay broke aint getting enough pussy,0
162,rt deze hoes got past demons em yolo nigga lol hahahahaha,0
163,harlem shake excuse go full retard seconds,1
164,bernstine chi sox jew fag,0
165,keep shape ski slopes,2
166,ughand lemme guess yellow cake heard story,2
167,cont also provide colored stickers place nametags members indicate preferred pronouns,2
168,never life coffee shop like starbucks hick though,2
169,yeah texans much better fucking retard see youre mad,1
170,bitch love,1
171,iubb suiting tonight indiana iu ncaa hoosierdaddy hoosiernation hoosiers,2
172,rt im crossed eyed im albino cant control,2
173,every spic cop killed pigs got job get even white people never anything,0
174,fuck east st john fans familys amp friends shut yo bitch ass,1
175,got bitch set like jada picketqueen latifah riding round nieces bitch titi,1
176,rt beyonc trash,0
177,im definitely top makin beats city yall niggers love trap beats yall probably wont admit,0
178,oh cool though might brownie lol,2
179,charlie z really need mental help check,2
180,probs fag vhia,0
181,ifthepurgewasreal id best prostitute madam ever hey got pussy shouldnt broke right lmao jk,1
182,istandwithrand wise rino pussies real leaders like rand cruz lee bachmann etc actually exist fight go home teaparty,1
183,gay tanning bitch juvie made white,0
184,rt hood hoes love harrell football team,1
185,minus retarded poor bots,0
186,shut faggotset,1
187,yu cant get money yu silly hoe,1
188,rt woman shouldnt complain cleaning house amp man always take trash,2
189,wulf bitch thank,1
190,ok bitch say wut think shesaid believe u described urself dumbass,0
191,took find hiding lime tree dis bitch da wrong tree bro,1
192,pop wop,2
193,helping mate love scally play fuck yeah,1
194,another season retweeting every one yankee tweets,2
195,degenerateartist knows wordsgt bo jingo dangle fan slang ho ting pang lick drum swing flick alarm bicgt cant hear fire,1
196,best believe aint christian slave brainwash black spooks miss white man unlike yoself devil,0
197,degenerateartist aint fuckin around allahs retard crestgt got blessed jesus next fake ass textgt,1
198,took uber yesterday advertised lt ny taxis actually yellow taxi price uber,2
199,gotta shape pussy lips tho whole wheat organic pussy,1
200,shes cunt,0
201,supposed grey speckled blue midsole soles yellow icy pass,2
202,missing something ofay friends day scared da recent happenings dont chu worryol lamar say like da colored folk,0
203,bslfe bitch pullup st washington space,1
204,go get left hot car die bitch,0
205,rt look ya boy rt nigga faggot rt bruh rt chance rapper,0
206,let guess yellow cake crap different president,2
207,faggots honeybooboo imagine internet world created trap feed allah like gazelles stephenking,0
208,go actually surprised hard rt n crib listen nig geazydont diss homie,1
209,think guinea pig okay,2
210,hoe waited got make sextape chile oh lord,1
211,best asian massage park slope top rated spa,2
212,dat one ugly animal da monkey adorable,2
213,fuck bad bitch id rather good girl whos freak times,1
214,hate industry fags hope get nigerian summer flu,0
215,bitch im bitch im griiind thug luuuuuuv,1
216,youve got sole,2
217,yankees damn well joe move bullpen really helped,2
218,trash,2
219,beer queer,0
220,faggots killed jesuschristgt hello whatever go ahead gaymarriage pharaohs pocketsgt,1
221,boney little hoe smile day funny,1
222,lot though attitudes pure trash teamwhitegirls swirltheworld,2
223,might cant really sure weird little bird said might possibility stay tuned maybe,2
224,mean bro fucking faggot,0
225,hated hoes favorite mw sevenone,1
226,yourenotmytype fade perpetually fresher thats real ass bitch rite,1
227,feature car yellow black feature car buck tag radiator support xx miles,2
228,mike calls tbird,2
229,perfection brain crossed wires something dont know came concentrationmaybe ghetto one,2
230,gusta typing like retard make person look dumber pretending agree bazinga,0
231,crying guy thanksgiving nah bitch pick head making turkey soggy thanks ashanni pats turkey dry,1
232,kiss u eyes open watch bitchlmfao,1
233,wtf flappy bird kidding,2
234,uncle tom hypocrite,0
235,u gone bring ur side bitch game know ya gf friends swear,1
236,jose ur mean said ily stfu hoe,1
237,current favorite line shea moisture target cvs great dry curly andor colored hair,2
238,ill see guys later gotta go bake blood crackers,2
239,wow u hoe term women,0
240,early bearded man gets clam herkfacts,2
241,ha aint welcome washington state nashville serpas straight trash,2
242,watched scene zero dark thirty pop osamas bitch ass u,0
243,oregon chokes every year get field trash ass program rft,1
244,trash,2
245,fit lads nice gear scally lads n trainers would get,2
246,racial minorities werent criminally inclined wouldnt much worry act color race traitor,0
247,fuckin hot gym pussy fuck yeah,1
248,fck nigger lol jk bra,1
249,ha im actually going see yankee game weird sounds uncles house nj hour away,2
250,honestyhour middle school hoes used call mandingo warrior,1
251,omg wont say face stupid ass hoes talkin shit imma whoop ass dramatic teenage girls,0
252,date colored men,2
253,iont see niggas fags,0
254,hello dare momma show glad dat u follow u lbe screamin hot dem pitchers eva b wit colored men,2
255,rt lmfaoo never dolo dont got niggas amp old hoes fuck,0
256,honestyhour dont love hoes,1
257,jai may make appearance party love fag,0
258,hate bitch like argue n shyt,1
259,dnt blame niggas female see ya hoe ass ways go listen jt money fruitcake,1
260,rt wait got ole lady still quenching yo girl unfaithful water fountain hoes,1
261,hell blk stop sayin nigger america,0
262,rt lmfaooooo gtrt lmaoo thats u got rt dougie yamming coon beat boxing,0
263,gucci b rude shit lol thats nice bitch aint worth quarter,1
264,shut fuck fucking trash nigga work another ring,0
265,rt nigger,0
266,mccoy wasnt trash thats td,2
267,promised stand muzzies,2
268,new showthursdays jinxy broadcast moon made chunky blue cheese know,2
269,rt fucking james tried tell jawga boys sucked went ape shit dude,0
270,people go church hollywood ca white trash filth,0
271,fuck faggot grow rt im gonna old ass man still playing video games,0
272,bro like really enjoy like eating pussy back makes nasty like nasty haha like eating ass,1
273,never games obsessed angry birds took long ccs scared lol,2
274,im bitch reason think im funny sometimes,1
275,rt trash eating trash,0
276,talented drivers rt really glad havent yellows havent yellows,2
277,aka wanna keep warm shoulda introduced coons,2
278,well genos ultimate faggot,0
279,whats good prom see another faggot ass high school dance,0
280,need find damn job needs find bitch jobright,1
281,real shit catch bitch game,1
282,end day call yo dumb ass monkey pickananny hoe u luv white devils,0
283,pornandroidiphoneipadsexxxx fisting dude fists wifes big pussy,1
284,annoying bitch love judyanns pretty,1
285,baseball season win yankees love started,2
286,pussy science donaire via rachel spelling error,2
287,yo girl cant homeboys ol weak bitch ass nigga,1
288,wants represent da life da colored man,2
289,lmao stupid nigger,0
290,shut fuck fag ill beat shit outta,0
291,miss pizza passion,2
292,biden winner last night yea right like charlie sheen really winner winning lol,2
293,coaches dont put positions successful offensive struggles put gardner program trash,2
294,virgin pussy regular pussy oomf pussy _________________________,1
295,dykes hunter dyke dyke,1
296,stop giving nigga pussy stop actin like care true totally,1
297,project could lead military program requires full op mock testing,2
298,nip im tryna buy copy crenshaw website let know something,2
299,shit ill pay premium get away anything ass hoes,0
300,im back cause dont wanna see boys lose trash votesos,2
301,bitches want nigga like dmx shit,0
302,rt welp rt prettier bitch usually loses lol science,1
303,niggas talk bitches days facts,1
304,yankees pineda needed great play,2
305,karmas bitch youll getting along fine real soon,0
306,youre fag,0
307,yankees nine straight hits price night,2
308,th incompletion slants looked like better options shame theres youth amp lack trust going,2
309,rt yall niggas entertain nicole bitch dont see yall ever take bitch posted naked pics serious,0
310,rt illegal alien race crime wetbacks,0
311,lmao amp aero sound young af talking bout hoes n weed n shit brah gotta listen shit,1
312,sounds like hysteria bird flu years back lower mortality rate regular flu,2
313,oh phone trash knew,2
314,really get upset lightskin friends another cute dark skin sidekicklike im supposed cute darkie u hang wit,0
315,lrg ass nigguh,0
316,pepe defending outstanding tackles accurate nd hos job perfectly legs,2
317,aint hoe get traphoussseeeee,1
318,brooklyn bound wit money feelin like yung jeezy bitch lmaoooo,1
319,rt man lame niggah find im unfollowing tf ass,0
320,u still mutt tho lol,2
321,gotta report spam rt ladies rt head game better pussy,1
322,pornandroidiphoneipadsexxxx japanese young japanese girls hairy cunt creampied,1
323,tjohngang lil bitch follow,1
324,team sucks,2
325,rebelscience sharing whaddupgt clouds hogging windturbines like fuckin gasbag son bitch,1
326,ppl talk bad ghettohood kid growing nigga funnnnnnn,1
327,sure slant theyre plagiarists idea,2
328,thats actually nonenglish okiecops filthy white trash criminals,0
329,rt ride bitch homie consider single nigga,0
330,foreskins go circumcise guy foreskin fairy takes put pillow,2
331,iu straight nation college soccer champions wow hoosiernation hoosiers,2
332,single af dont care youre ugly anyways pussy,1
333,wow rt im lost buttcheek piercings yeah shes hoe,1
334,faggot,0
335,hey hillbilly jim greg hammer valentine pffttt,2
336,tell coon,0
337,laugh oreos lady gaga sunday day,2
338,annoying yelling bint next door locked,2
339,many bitches one sentence fixitjesus,0
340,go gulls first grade cracker physical,2
341,quit bitching faggot happy cant see faggot family cry baby little girl crying parking lot aint man sissy,0
342,rt look like tranny,1
343,ltlt closet muzzie,2
344,thats rooting team hate banwagoning u retard u different favorite,0
345,alright fag,0
346,bitch hitting hoe,1
347,pack head nyc please enjoy called hick years come home humbled plans,2
348,longhair dont care got gayboyproblems everywhere im bitch im champ im totally full,1
349,learned many retards find search trending topics,0
350,im trying critical jr literally looks like ate pot brownie got couch put gloves,2
351,dont even need picture tamar bitch beat every picture,1
352,slippery slope dont want lose right self defense st background checks,2
353,yankees astros mccarthy outduels keuchel series finale,2
354,shit blows meclaim faithful somebody still fucking hoes,1
355,disco used disaster recovery awesome brownie points well built extreme conditions,2
356,thats youz yellow bone,2
357,realtalk hoe try get serious someone dont expect anything piece meat,1
358,beatthehabs nyr pussy,1
359,come never bring food dont car retard,1
360,hes faggot dont like im side state,0
361,like taking niggas hoes stop,0
362,nigor,2
363,whatimcraving peanut butter oreos lt,2
364,raunchy ass hoe,0
365,ihopesomeday hoes find relationship instead ruining others,1
366,smoke good weed bad bitch,1
367,jennifer hudson lose weight anybody fat ass hoes,1
368,wrong try change faggotsgt therapy tcot understand sympathize like retardsgt,0
369,niggas sending screenshots bitches like stop texting cuh,1
370,said wigga man richtake durag,1
371,hahaha much thottie never fear captain saveathot save hoe,1
372,teach might get u got rt really hate disrespectful ass bitch class professor talking stfu bitch,0
373,missed calls das yo po bitch twitter finna screamn freemoneymelle,1
374,noticed guys called jiggaboo,2
375,faggot,0
376,theres lane bitches need stay left n get right fuck outta face,1
377,leo get fuck vine fag,0
378,aye nicca tired tho,2
379,obispo ho well big,2
380,bwahaaaa choked oreo cookie im figuring may something,2
381,girl eat mo pussy girl shoulda nigga thats jam,1
382,rt reason called jesus monkey knew color farrakhanthetime,0
383,nahh whatever spook spic still dont like good day,0
384,last year explain queer theory acceptable academic term,2
385,lucky monkey,2
386,pussy root drama attribute put head mama,1
387,rather believe man definition good u mock,2
388,accept flaws imperfections thats makes see im fuck small dick faggot parents dont love,0
389,rt idc phone u got lol silly nigger,0
390,twitter bird shaped pancakes would start,2
391,fuck good trip even good dick makes bitch go crazy,1
392,need sox fuck yeah love kinky scally lad w rank sox sneaks,1
393,alexas phone gave us colors julia got yellow im dying racistaf,2
394,slapahoe,2
395,hey teabagger benghazi thing joke benghazis bush hearings benghazi real attack,2
396,dont hate blew like hipster hate faggots say love music based worst,0
397,hate overly hood girl aye hoe listening keef night feel,1
398,smoke like backwoods day cop dem bitches da box woe,1
399,snap chatted one night lol youre cute snapchat back nig,2
400,gator bait,2
401,think dat called nigger move away da dark side mean,0
402,alfredo linguini pasta fancily prepared trash,2
403,thats ghetto super duper current generations best complement,2
404,theres starving children africa bitch using bananas plug butt hole smh wtf,1
405,know must make lot yall hoes sick amp tell hoes get used bitch,1
406,cant stand dont know want ass nigga bitch,1
407,ill break lil bitch neck wont even feel sorry savage,1
408,fuck mother faggot,0
409,lmao niggas regionally picky hoes say anything twitter makes fun tho,0
410,big squawk q dfl dump ryan uncle tom winkler going happen berg bleat mngop proud stribpol mnleg,2
411,orton trash idc aint playing trashlex smith sat kaep took spot,2
412,bitch middle look like daddy long leg,1
413,pet zebra stripey,2
414,fuck still talking shit acting like pussy ass nigga,0
415,like thinks im talking hoeshell nah lol bad forgot aint got hoes like vdawg,1
416,lol else common nigga hate sleeping heat summer birds,1
417,finger bitch w trigger finger nigga shut,1
418,yeah great song watching msg concert yankee stadium gig,2
419,monkey mad,2
420,oh drafted gay ass come tv well u welcome redskins nation queers lot niggers,0
421,chink eyed,0
422,bitch dont want real job become strippers lol lol,1
423,momma aint raise hoe,1
424,kip tokuda yellow guy working niggerize seattle pd died bad theres another pos hiding wings replace,0
425,help maybe gotta card sorry tranny died motel room wife knows heres applebees gift card,2
426,fucked th gradeyeah bitch wants fight yo dawg ass,1
427,nah girl aint gon able make tight since russ loss job back like damn bitch really,1
428,traded nikes new mic guess safe say sold soles new life bada,2
429,swears im man easily easily behind austin nip,2
430,yankees nice bounce back kay gotta keep going,2
431,food gt pussy pussy food food pussy,1
432,im pussy honey im home,1
433,brah wiz cheated hair like dyke uh duh,2
434,eh take hoser,2
435,showing fairy blocked,2
436,im rea start smacking bitches period bluffin best,1
437,fuck u u stand u dizzy bitch two unique amp separate phrases overheard relative saying younger,1
438,coolin nig voice uhhee laugh,1
439,hoes like omg love new comb thought perro,1
440,jordans trash,2
441,ive shots go yellow smoke,2
442,best asian massage brooklyn park slope top rated spa,2
443,rt vine still funny shit many niggers store,0
444,full called children children illegal border jumpers ms gang members,0
445,joe cortez ultimate faggot fight proved,0
446,bored supposed cute faggot sometimes,0
447,anyone came us indentured servant white trash,0
448,atleast let knowur faggot u keep type twitter secrets,0
449,agreed eating pussy much betterthey nasty,1
450,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick,1
451,happy birthday queer,0
452,umightnotgetin fucc nicca beerandtacos wethelastonesleft,1
453,hes friggin idiot say anything redneck teabagger constituants buy love stupid people,0
454,ill ask question support border jumpers support illegals,2
455,teeth like stars aww thanks yeah yellow far away,2
456,im referring second put vick slot play trash,2
457,rt murda sucking bitches howdhow,1
458,kid looks like retard tries hiding phone obvious,0
459,ugh bitch love amp simply flawless remember cute peice hair hella short,1
460,ur ballsack hairy gtfo tranny prude bitch,0
461,thats ghetto,2
462,rt stopped caring mcm noticed dykes getting chose,0
463,aint got shit goin ya self bitch gone want,1
464,man wilson nd black qb win chip talkn trash talk shine russell,2
465,rt youre trying relax pussy shooting light beams,1
466,looks like reg memphistn trash got everywhere,0
467,looks like took red marker colored leg,2
468,guys company best year everunder obamaconservative teabaggers scum,2
469,baseball isnt without yankees playoffs amp basketball isnt without lakers em,2
470,wouldnt proud faze family hes horrible one two hes ugly trailer trash fazeisgay,0
471,yall bitches popping babies like sportstop lol,1
472,best friend loves justin beiber fag,0
473,holyspirit god still share secrets amos blessings jesus,2
474,uh excuse bitch dont need shout,1
475,fags,0
476,glory isaiah mom asked wanted brownie said thanks said fasting,2
477,rt straight guys take picture naked hot tunwhat fags,0
478,truth rt david charlie brown scandal,2
479,woohoo new black kill cracker babies panthers rescue racist trash thugs ferguson fergusonriot,0
480,know im kidding bet funny love blacks call eachother ignorant niggers makes,0
481,imma tie bitch basement donkeyfuck ass two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct,1
482,fucking coon,0
483,hope get eye cancer bitch,0
484,rt yall hoes worried yall eyebrows yall forgot yall mustache lmao,0
485,work today niglet,0
486,bitch im weakkk vic,1
487,pinche panamonos negros dan asco,2
488,kuroda gave putting career numbers getting run support yankees dont deserve get world series,2
489,sure want give free pass every border jumper country two whats wrong,0
490,smdh eagles fans bitch rt hey giants fans victor cruz dance hey watch,1
491,forever hoes,2
492,bitch lrt,1
493,pornandroidiphoneipadsexxxx korean korean girlfriend pussy,1
494,searches yellow pages app nearest jack box,2
495,learn dance nuh cuz u know carnival like pick months old yardie ting lol,2
496,yes im white washed dont go around repping hood saying bunch ignorant nig terms,0
497,racist tx trash theres comparison betwn pres obama n gwbush rt poll show hes supported,2
498,tired mock drafts lets clowney st pick thinks round becomes chaos showofhands,2
499,people think gay marriage okay beyond sorry dont want future son seeing fags walking street holding hands,0
500,cowboys win games regular season get playoffs trash af lol hating ass nigga,0
501,different dude every week might hoe jsno dont listen ladies dou,1
502,pussy day keeps devil away,1
503,liked day bird got classroom,2
504,time mock halftime america bout wake america radical leftists running country,0
505,rt well maybe youre whore stupid ugly homeless bitch,0
506,ill chug tall homegirl wont approve lol,2
507,white trash okies dont count real white people count white person count person okies arent people,0
508,watched llewyn davis doc warm fuzzies abound,2
509,thanks follow guys im enjoying cold yellow belly right,2
510,rt actrist rt u bitches tripping smh,1
511,redneck tow truck johndeere america,2
512,bol called girl bitchoharrd coo im tho,1
513,somebody couldve like aye man dropped money nooooooo fucking broke faggots selfish bastards hate yall,0
514,im dres bitch tho,1
515,time night dark skin niggas really turn lightskin niggas swear seen darkie try buying starbucks mins ago closed,0
516,dont got type bad bitches thing like iongotnotype,1
517,yasss bitch get paid tho long dnt act crazy,1
518,rt neveraskablackperson hair hit bitch bought mine,0
519,would u know dont fuck exactly dont wtf got shut retarded ass,0
520,bitches really waveshaq got hoes,1
521,wonder latino strategy working goper doubles wetbacks backpedals shoot sight,0
522,youre bad bitch put hands high every girl room starts waving hands around,1
523,white girls u holla nooooo brothas go ugliest bad built hoes ever,1
524,yall think celebrity pussy different locals yeah meghan goods,1
525,aww avis look cute together gotta get ike avi bitch,1
526,word understand blackjesus nigger heavily disappointed show aaronmacgruder stuff blows imo,0
527,im liberal amp support changing name transcends standard political grandstanding,2
528,hotter bitch,1
529,black guy class attempts throw paper ball trash misses mrs mundy youre disgrace race marcus,2
530,qtna rt yall bitches gon breast feed wit nipple rings,1
531,rt shit hear might true might faker bitch told ya,1
532,dese hoes lyin us nigga,1
533,slightlyadjusted rt alls niggers wanna fuck tweet drink pineapple soda day,0
534,knew faggot though,0
535,rt co worker talking whats twitter name oh hoe could never screen shot boss,1
536,legit watched seconds wtf prob cause retarded smh,1
537,phat pussy looks like scrotum,1
538,dammn weed potheads annoying af twitter weed pot thing faggot,0
539,rt know shes dyke asks mens golf clubs,0
540,rating scale depends still wearing colored contacts naw,2
541,dont like trash talking either way fair thats twitter im ball texts,2
542,early dont annoy dont come back ya fun filled weekend give attitude hoe,1
543,need trippy bitch fuck hennessy,1
544,stfu boris fagjo rt cause faggot makes sense right rt bran prolly real nurturing lol,0
545,pop nigguh sound like crisco,0
546,unexplainable,2
547,shoutout macktown niccas,1
548,stoni fuckin queer,0
549,tikiti rough mock base eventually ashtray tiki ti,2
550,ians retarded,0
551,nigga aux cord playin trash shit,1
552,cant remember girls ive smashed godhoe shit technically takes,1
553,rt got niggas amp got bitches want,0
554,eva asked nicca dey got sum fake designer frm,0
555,degenerateartist sniffs whiffy balls involuntary cuz fairy walks downtown hairy climatechange scary sense hillbilly sneezegt,2
556,pops new york family yankee obsessed sister literally cried heard gonna,2
557,takin straight dirt finger pussy know put dick,1
558,boooooooo trash,2
559,said uswas full nicegivingsmart ppli thought meanunexceptionalbitter clingersevolved,2
560,aint love ghetto,2
561,random scroll lands herert charlie horses durin sex simply means didnt drink enough water day,2
562,pdplive november th get early bird tickets,2
563,mental asylum dallas texas go find hoe,1
564,racist ntx trash w hate see particular man wh n butler,0
565,feel sorry mexican asian niggas got worse shaped bitches earth,0
566,thats im partially glad say hi ho kermit frog slip kermit voice well,2
567,sit shit dnt sing hoe noyess,1
568,spend money want bitch business,1
569,heard hillbilly grousings bugs much worse kv since mic shut,2
570,okies trash,2
571,believe hoes fact loyal disagree believe fact loyalest bunchthese hoes,1
572,raided nickis wig closet summer bad gals wanna fun bitch nerve smh,2
573,hoesaintloyal well theyre hoesno one expects loyal,1
574,rt rt lmfao wtf kinda pussy mom think got buying shit,1
575,youre toes aint done pussy stinks,1
576,alex smith wears red yellow quit psycho ex boyfriends get hes past,2
577,fags say swag shits mad retarded,0
578,semievolved monkey desperately searching validation meaning life bbqd youd ok mango salsa,2
579,fag,0
580,pharaohs nd angry bird,2
581,america today rule thumb doubt blame whitey,0
582,grand opening top class oriental massage perfect,2
583,queer gaywad,0
584,fuck make rules suck dragon balls bitch call goku,1
585,jesuschrist straightgt thats faggots killed period sonofgodgt,0
586,comes guy whose sole qualification cm lucky sperm,2
587,rt many niggers store knowwww youre stealing,0
588,still really confused humplayproblems think lucricus fag dagger,0
589,rt heres suggestion plays racist ha niggers stopped callin nigga end,0
590,live constant fear shit bird well actually fucking happened sooooo,1
